product_id,product_category_name,units_sold,total_revenue,average_price
PROD_000005,toys,51,66438.26,1302.7109803921567
PROD_001490,computers,44,62954.219999999994,1430.7777272727271
PROD_001159,health,47,61879.350000000006,1316.581914893617
PROD_002467,furniture,42,60147.70000000001,1432.0880952380955
PROD_001488,electronics,47,60107.40000000001,1278.88085106383
PROD_000593,home_appliances,42,60044.810000000005,1429.6383333333335
PROD_001171,computers,40,59402.099999999984,1485.0524999999996
PROD_000231,home_appliances,41,58891.609999999986,1436.3807317073167
PROD_001829,toys,43,58333.43000000003,1356.591395348838
PROD_000480,health,50,58277.56999999999,1165.5513999999998
PROD_002029,home_appliances,40,57352.20000000001,1433.8050000000003
PROD_002457,furniture,41,57341.35999999999,1398.569756097561
PROD_001281,sports,51,57027.12,1118.1788235294118
PROD_000204,electronics,43,56638.69,1317.1788372093024
PROD_002172,automotive,36,56574.299999999996,1571.5083333333332
PROD_002030,automotive,43,56557.63,1315.2937209302324
PROD_000406,automotive,44,56513.329999999994,1284.3938636363634
PROD_001811,music,43,56467.93999999998,1313.2079069767437
PROD_001878,electronics,41,56243.99,1371.8046341463414
PROD_000440,sports,43,56232.58,1307.7344186046512
PROD_001902,electronics,41,56041.69999999999,1366.8707317073167
PROD_001624,computers,42,56003.849999999984,1333.4249999999997
PROD_001732,electronics,36,55745.74,1548.4927777777777
PROD_000417,food,40,55713.11,1392.82775
PROD_000611,books,42,55708.89000000001,1326.402142857143
PROD_001217,automotive,40,55645.51000000001,1391.1377500000003
PROD_001527,food,46,55634.560000000005,1209.4469565217391
PROD_000512,sports,41,55328.47,1349.4748780487805
PROD_002584,computers,41,55275.58000000001,1348.1848780487808
PROD_001448,music,41,55112.749999999985,1344.213414634146
PROD_001965,automotive,36,55076.599999999984,1529.905555555555
PROD_002906,sports,40,54795.810000000005,1369.89525
PROD_001689,toys,40,54558.70999999999,1363.9677499999998
PROD_000047,sports,39,54550.83000000001,1398.739230769231
PROD_001913,health,38,54528.070000000014,1434.9492105263162
PROD_002151,computers,45,54524.10000000001,1211.646666666667
PROD_000618,computers,40,54497.26999999998,1362.4317499999995
PROD_000727,toys,43,54418.770000000004,1265.5527906976745
PROD_000177,electronics,42,54322.95,1293.4035714285715
PROD_001344,office,43,54237.76999999999,1261.3434883720927
PROD_000203,electronics,36,54148.35,1504.1208333333334
PROD_001117,automotive,39,54132.420000000006,1388.0107692307695
PROD_001817,sports,37,54077.619999999995,1461.5572972972973
PROD_000550,furniture,38,53894.540000000015,1418.277368421053
PROD_001531,music,42,53887.469999999994,1283.0349999999999
PROD_001813,beauty,40,53873.28999999999,1346.83225
PROD_001427,computers,40,53848.329999999994,1346.20825
PROD_000988,computers,41,53812.759999999995,1312.5063414634144
PROD_000754,furniture,34,53784.11,1581.885588235294
PROD_002768,fashion,39,53753.21999999999,1378.287692307692
PROD_000238,electronics,38,53702.49999999999,1413.223684210526
PROD_000834,health,40,53699.8,1342.4950000000001
PROD_002371,electronics,39,53696.899999999994,1376.8435897435895
PROD_002257,sports,37,53679.68999999999,1450.8024324324322
PROD_001235,health,39,53655.87,1375.7915384615385
