customer_id,customer_city,customer_state,total_orders,total_spent,avg_order_value,first_purchase,last_purchase,customer_lifetime_days
CUST_003610,belem,PA,1,162.18,162.18,2022-07-02T08:17:00.000Z,2022-07-02T08:17:00.000Z,1469
CUST_004929,porto velho,RO,4,6439.73,1609.9325,2021-01-19T16:35:00.000Z,2022-12-31T18:38:00.000Z,1287
CUST_007914,sao paulo,SP,5,9997.939999999999,1428.2771428571427,2021-03-14T05:58:00.000Z,2023-04-20T09:28:00.000Z,1177
CUST_010325,belem,PA,1,1214.7,1214.7,2021-04-05T14:35:00.000Z,2021-04-05T14:35:00.000Z,1922
CUST_011812,maceio,AL,1,379.45,379.45,2022-01-22T00:46:00.000Z,2022-01-22T00:46:00.000Z,1630
CUST_012695,belo horizonte,MG,3,8345.33,2086.3325,2021-05-17T11:59:00.000Z,2022-10-19T09:46:00.000Z,1360
CUST_000921,recife,PE,3,5730.16,1432.54,2021-07-01T04:04:00.000Z,2022-09-29T17:02:00.000Z,1380
CUST_003059,maceio,AL,1,636.34,318.17,2022-11-21T20:55:00.000Z,2022-11-21T20:55:00.000Z,1327
CUST_001524,cuiaba,MT,3,5387.5,1346.875,2022-02-06T10:05:00.000Z,2023-04-18T23:26:00.000Z,1179
CUST_007610,goiania,GO,1,2387.66,2387.66,2021-07-29T11:17:00.000Z,2021-07-29T11:17:00.000Z,1807
CUST_011509,manaus,AM,2,5306.38,2653.19,2021-06-26T18:39:00.000Z,2022-01-23T18:13:00.000Z,1629
CUST_006075,florianopolis,SC,4,6706.709999999999,1676.6774999999998,2022-08-05T19:33:00.000Z,2023-06-08T05:14:00.000Z,1128
CUST_009098,florianopolis,SC,2,1284.62,642.31,2021-10-02T08:30:00.000Z,2021-11-24T15:19:00.000Z,1689
CUST_002190,manaus,AM,7,7857.9800000000005,982.2475000000001,2021-03-24T03:04:00.000Z,2023-05-15T17:38:00.000Z,1152
CUST_008197,manaus,AM,11,14533.58,1117.9676923076922,2021-02-26T02:44:00.000Z,2023-06-13T10:24:00.000Z,1123
CUST_011382,belem,PA,3,3785.0,1261.6666666666667,2021-08-30T04:44:00.000Z,2023-01-05T16:12:00.000Z,1282
CUST_001117,manaus,AM,4,7311.71,1462.342,2021-08-03T17:47:00.000Z,2023-06-11T23:36:00.000Z,1125
CUST_011480,sao paulo,SP,2,1416.88,708.44,2021-01-05T09:32:00.000Z,2022-10-31T14:24:00.000Z,1348
CUST_012219,goiania,GO,5,8687.880000000001,1737.5760000000002,2021-02-14T05:58:00.000Z,2022-11-12T07:47:00.000Z,1336
CUST_013589,fortaleza,CE,3,2483.31,827.77,2021-08-26T00:07:00.000Z,2023-05-19T06:27:00.000Z,1148
CUST_006586,belem,PA,3,5245.4,1311.35,2021-07-27T20:24:00.000Z,2023-05-15T12:56:00.000Z,1152
CUST_006621,sao paulo,SP,5,10447.23,1492.4614285714285,2021-03-14T13:11:00.000Z,2023-04-05T15:34:00.000Z,1192
CUST_006749,goiania,GO,4,7545.1900000000005,1886.2975000000001,2021-07-08T20:50:00.000Z,2023-02-03T00:26:00.000Z,1253
